ProductCode,ProductName,OriginalPrice,FlashPrice,Description
TRYX4,50W Plastic Flood Light Cool White,50.00,35.00,! ! ! CLEARANCE SALES -> Now GH₵35.00 (Original Price GH₵50.00) (30% off) Grab yours before stock runs out!
TRYX9,Essential Oil,121.00,45.00,! ! ! CLEARANCE SALES -> Now GH₵45.00 (Original Price GH₵121.00) (63% off) Grab yours before stock runs out!
TRYX18,Solar Wall Light - 100LED,79.00,15.00,! ! ! CLEARANCE SALES -> Now GH₵15.00 (Original Price GH₵79.00) (81% off) Grab yours before stock runs out!
TRYX21,28W Mini Fan Blade LED Bulb B22,15.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵15.00) (67% off) Grab yours before stock runs out!
TRYX31,200W Solar Flood Light Power Bank 12500mAh,320.00,150.00,! ! ! CLEARANCE SALES -> Now GH₵150.00 (Original Price GH₵320.00) (53% off) Grab yours before stock runs out!
TRYX32,Strip Light 100M-2835,700.00,200.00,! ! ! CLEARANCE SALES -> Now GH₵200.00 (Original Price GH₵700.00) (71% off) Grab yours before stock runs out!
TRYX33,100M Strip Light Controller,15.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵15.00) (67% off) Grab yours before stock runs out!
TRYX43,18W Emergency Bulb-B22,50.00,10.00,! ! ! CLEARANCE SALES -> Now GH₵10.00 (Original Price GH₵50.00) (80% off) Grab yours before stock runs out!
TRYX45,Eseecloud Solar PTZ Camera 4G+ 64GB SD,1450.00,950.00,! ! ! CLEARANCE SALES -> Now GH₵950.00 (Original Price GH₵1450.00) (34% off) Grab yours before stock runs out!
TRYX46,Bedside Lamp Cat-ear Light-sensor,50.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵50.00) (90% off) Grab yours before stock runs out!
TRYX47,Bedside Lamp Panda Light-double Switch,35.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵35.00) (86% off) Grab yours before stock runs out!
TRYX48,Bedside Lamp Suqare Light-sensor,35.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵35.00) (86% off) Grab yours before stock runs out!
TRYX49,300W Solar Street Light Bi-Facial,639.00,350.00,! ! ! CLEARANCE SALES -> Now GH₵350.00 (Original Price GH₵639.00) (45% off) Grab yours before stock runs out!
TRYX54,9W RGB Smart Bulb + Bluetooth,59.00,10.00,! ! ! CLEARANCE SALES -> Now GH₵10.00 (Original Price GH₵59.00) (83% off) Grab yours before stock runs out!
TYRX58,Pentagon Crystal Christmas Light,50.00,5.00,! ! ! CLEARANCE SALES -> Now GH₵5.00 (Original Price GH₵50.00) (90% off) Grab yours before stock runs out!
TRYX67,400W Solar Street Light Bi-Facial,795.00,390.00,! ! ! CLEARANCE SALES -> Now GH₵390.00 (Original Price GH₵795.00) (51% off) Grab yours before stock runs out!
TRYX79,40W Tiangong Solar Flood Light (Split),410.00,170.00,! ! ! CLEARANCE SALES -> Now GH₵170.00 (Original Price GH₵410.00) (59% off) Grab yours before stock runs out!
TRYX82,16 inch Standing Solar Fan - HS168,695.00,400.00,! ! ! CLEARANCE SALES -> Now GH₵400.00 (Original Price GH₵695.00) (42% off) Grab yours before stock runs out!
TRYX85,Eseecloud PTZ Bulb Camera WiFi + 64GB SD,445.00,295.00,! ! ! CLEARANCE SALES -> Now GH₵295.00 (Original Price GH₵445.00) (34% off) Grab yours before stock runs out!
TRYX94,300W Solar Emergency UFO Light,300.00,100.00,! ! ! CLEARANCE SALES -> Now GH₵100.00 (Original Price GH₵300.00) (67% off) Grab yours before stock runs out!
TYRX104,100W Transformer Solar Flood Light,720.00,300.00,! ! ! CLEARANCE SALES -> Now GH₵300.00 (Original Price GH₵720.00) (58% off) Grab yours before stock runs out!
TRYX113,68Vf Cordless Car Pressure Washer - Complete Set,693.00,220.00,! ! ! CLEARANCE SALES -> Now GH₵220.00 (Original Price GH₵693.00) (68% off) Grab yours before stock runs out!
TRYX114,1800W High Pressure Car Washer + Gun - 220V - Complete Set,1760.00,990.00,! ! ! CLEARANCE SALES -> Now GH₵990.00 (Original Price GH₵1760.00) (44% off) Grab yours before stock runs out!
TRYX137,Spider Solar Wall Light,150.00,50.00,! ! ! CLEARANCE SALES -> Now GH₵50.00 (Original Price GH₵150.00) (67% off) Grab yours before stock runs out!
